row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
110,MA236,Intraspecific,male-female,JW,Male reproductive skew is higher in bonobos than chimpanzees,"Surbeck, M. and Langergraber, K.E. and Fruth, B. and Vigilant, L. and Hohmann, G.",Current Biology,27,13,R640-R641,2017,10.1016/j.cub.2017.05.039,,,,,,
121,MA270,Interspecific,host-symbiont,JW,"Parasitism, personality and cognition in fish","Barber, I. and Mora, A.B. and Payne, E.M. and Weinersmith, K.L. and Sih, A.",Behavioural Processes,141,NA,205-219,2017,10.1016/j.beproc.2016.11.012,,,,,,
141,MA319,Intraspecific,male-female,JW,Sexual conflict predicts morphology and behavior in two species of penduline tits,"Van Dijk, R.E. and Pogny, . and Komdeur, J. and Lloyd, P. and Szkely, T.",BMC Evolutionary Biology,10,1,NA,2010,10.1186/1471-2148-10-107,,,,,,
158,MA354,Intraspecific,competition-cooperation,JW,Strategic adjustment of begging effort by banded mongoose pups,"Bell, M.B.V.",Proceedings of the Royal Society B: Biological Sciences,275,1640,1313-1319,2008,10.1098/rspb.2008.0173,,,,,,
175,MA386,Intraspecific,male-female,JW,The social context of a territorial dispute differentially influences the way individuals in breeding pairs coordinate their aggressive tactics,"Schuppe, E.R. and Sanin, G.D. and Fuxjager, M.J.",Behavioral Ecology and Sociobiology,70,5,673-682,2016,10.1007/s00265-016-2088-0,,,,,,
181,MA396,Interspecific,host-symbiont,JW,"Traps of carnivorous pitcher plants as a habitat: Composition of the fluid, biodiversity and mutualistic activities","Adlassnig, W. and Peroutka, M. and Lendl, T.",Annals of Botany,107,2,181-194,2011,10.1093/aob/mcq238,,,,,,
2,MA4,Modelling,n/a,KJB,A General Scheme to Predict Partner Control Mechanisms in Pairwise Cooperative Interactions Between Unrelated Individuals,"Bshary, R. and Bronstein, J.L.",Ethology,117,4,271-283,2011,10.1111/j.1439-0310.2011.01882.x,,,,,,
16,MA34,Modelling,n/a,KJB,Bet hedging based cooperation can limit kin selection and form a basis for mutualism,"Uitdehaag, Joost C. M.",JOURNAL OF THEORETICAL BIOLOGY,280,1,76-87,2011,10.1016/j.jtbi.2011.04.002,,,,,,
26,MA54,Modelling,n/a,KJB,Communal range defence in primates as a public goods dilemma,"Willems, E.P. and Arseneau, T.J.M. and Schleuning, X. and van Schaik, C.P.",Philosophical Transactions of the Royal Society B: Biological Sciences,370,1683,NA,2015,10.1098/rstb.2015.0003,,,,,,
32,MA71,Modelling,n/a,KJB,Conflicting selection in the course of adaptive diversification: The interplay between mutualism and intraspecific competition,"Raimundo, R.L.G. and Gibert, J.P. and Hembry, D.H. and Guimares Jr., P.R.",American Naturalist,183,3,363-375,2014,10.1086/674965,,,,,,
85,MA186,Modelling,n/a,KJB,"Hot spots, cold spots, and the geographic mosaic theory of coevolution","Gomulkiewicz, R and Thompson, JN and Holt, RD and Nuismer, SL and Hochberg, ME",AMERICAN NATURALIST,156,2,156-174,2000,10.1086/303382,,,,,,
93,MA204,Modelling,n/a,KJB,Inducible defence and the social evolution of herd immunity,"Frank, SA",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,265,1408,1911-1913,1998,10.1098/rspb.1998.0519,,,,,,
